Number,City,Gender,Age,Income,Illness
127,Dallas,Male,45,36702.0,No
128,Dallas,Female,31,36979.0,No
129,Dallas,Male,37,58357.0,No
130,Dallas,Male,44,59426.0,No
131,Dallas,Female,59,48994.0,No
132,Dallas,Male,37,61390.0,No
133,Dallas,Female,35,49629.0,No
134,Dallas,Female,65,33676.0,No
135,Dallas,Female,40,45797.0,No
136,Dallas,Male,59,45130.0,Yes
137,Dallas,Male,56,43573.0,No
138,Dallas,Female,56,57028.0,No
139,Dallas,Male,53,68679.0,No
140,Dallas,Male,45,51435.0,No
141,Dallas,Male,60,48559.0,No
142,Dallas,Female,53,38692.0,Yes
143,Dallas,Female,37,46382.0,No
144,Dallas,Female,40,48550.0,No
145,Dallas,Female,56,59945.0,No
146,Dallas,Female,28,51127.0,No
147,Dallas,Male,42,26301.0,No
148,Dallas,Male,60,50057.0,No
149,Dallas,Female,58,31472.0,No
150,Dallas,Female,48,42926.0,No
151,Dallas,Male,37,60150.0,No
152,Dallas,Male,51,38416.0,No
153,Dallas,Female,54,43810.0,No
154,Dallas,Male,63,71551.0,Yes
155,Dallas,Female,36,25564.0,Yes
156,Dallas,Female,32,28551.0,No
157,Dallas,Male,48,45591.0,No
158,Dallas,Female,51,47559.0,No
159,Dallas,Male,59,53835.0,No
160,Dallas,Male,29,55545.0,No
161,Dallas,Female,27,57903.0,Yes
162,Dallas,Male,49,63544.0,No
163,Dallas,Female,54,39273.0,No
164,Dallas,Female,63,38841.0,No
165,Dallas,Female,47,48520.0,No
166,Dallas,Male,55,54849.0,No
167,Dallas,Male,45,50114.0,No
168,Dallas,Female,43,36894.0,No
169,Dallas,Male,25,42719.0,No
170,Dallas,Female,56,47347.0,No
171,Dallas,Female,54,35471.0,No
172,Dallas,Male,40,60636.0,No
173,Dallas,Female,28,48996.0,No
174,Dallas,Female,44,39808.0,No
175,Dallas,Male,47,45383.0,No
176,Dallas,Male,25,43413.0,No
177,Dallas,Female,65,50311.0,No
178,Dallas,Female,38,45187.0,No
179,Dallas,Male,54,60128.0,No
180,Dallas,Male,64,55066.0,Yes
181,Dallas,Female,38,41409.0,No
182,Dallas,Male,51,48899.0,No
183,Dallas,Female,28,32130.0,No
184,Dallas,Male,50,59841.0,No
185,Dallas,Male,47,40709.0,No
186,Dallas,Female,41,25012.0,No
187,Dallas,Male,28,40712.0,No
188,Dallas,Female,44,36038.0,No
189,Dallas,Female,56,47102.0,No
190,Dallas,Male,30,63365.0,No
191,Dallas,Male,64,22134.0,No
192,Dallas,Male,34,40684.0,No
193,Dallas,Male,52,51919.0,No
194,Dallas,Female,54,40526.0,No
195,Dallas,Male,52,48386.0,No
196,Dallas,Male,32,46196.0,No
197,Dallas,Male,51,44816.0,No
198,Dallas,Male,45,63285.0,No
199,Dallas,Female,58,19643.0,No
200,Dallas,Female,37,37872.0,No
201,Dallas,Male,56,47949.0,No
202,Dallas,Male,35,32404.0,No
203,Dallas,Male,36,70577.0,No
204,Dallas,Male,58,44891.0,No
205,Dallas,Male,40,42737.0,No
206,Dallas,Male,55,53217.0,No
207,Dallas,Male,39,53433.0,No
208,Dallas,Female,40,16459.0,No
209,Dallas,Female,27,40469.0,No
210,Dallas,Male,26,53774.0,No
211,Dallas,Male,38,34836.0,No
212,Dallas,Male,34,41093.0,No
213,Dallas,Female,47,47306.0,No
214,Dallas,Female,44,36304.0,No
215,Dallas,Female,40,32430.0,No
216,Dallas,Female,33,28020.0,No
217,Dallas,Female,41,35209.0,No
218,Dallas,Male,42,58206.0,No
219,Dallas,Female,43,41762.0,No
220,Dallas,Female,55,44410.0,No
221,Dallas,Female,51,38805.0,No
222,Dallas,Female,30,34105.0,No
223,Dallas,Male,45,59978.0,No
224,Dallas,Female,47,40115.0,No
225,Dallas,Female,61,42710.0,No
226,Dallas,Male,33,65152.0,No
227,Dallas,Female,39,57208.0,No
228,Dallas,Male,53,49686.0,No
229,Dallas,Male,57,54993.0,No
230,Dallas,Male,61,65721.0,No
231,Dallas,Female,53,26033.0,No
232,Dallas,Male,27,65178.0,No
233,Dallas,Male,26,51428.0,No
234,Dallas,Male,40,57497.0,No
235,Dallas,Male,56,42534.0,No
236,Dallas,Male,42,55519.0,No
237,Dallas,Female,29,31924.0,No
238,Dallas,Female,54,48411.0,No
239,Dallas,Male,32,51888.0,No
240,Dallas,Female,33,51848.0,No
241,Dallas,Male,49,23579.0,No
242,Dallas,Male,35,61320.0,No
243,Dallas,Male,49,40468.0,No
244,Dallas,Male,34,52297.0,No
245,Dallas,Female,61,32631.0,No
246,Dallas,Female,40,-654.0,Yes
247,Dallas,Female,52,38721.0,Yes
248,Dallas,Female,35,40200.0,No
249,Dallas,Male,45,66643.0,No
250,Dallas,Male,44,47535.0,No
251,Dallas,Male,44,37370.0,No
252,Dallas,Male,56,51077.0,No
253,Dallas,Male,56,58303.0,No
254,Dallas,Female,64,39930.0,No
255,Dallas,Male,41,61051.0,No
256,Dallas,Female,54,37022.0,No
257,Dallas,Male,56,59154.0,No
258,Dallas,Female,46,39067.0,No
259,Dallas,Male,54,51490.0,No
260,Dallas,Male,38,53849.0,Yes
261,Dallas,Male,28,44893.0,No
262,Dallas,Female,44,39326.0,No
263,Dallas,Male,28,59432.0,No
264,Dallas,Female,61,50101.0,No
265,Dallas,Male,44,41998.0,No
266,Dallas,Male,62,56361.0,No
267,Dallas,Male,50,41538.0,No
268,Dallas,Male,31,56304.0,No
269,Dallas,Male,59,45585.0,No
270,Dallas,Male,26,64317.0,No
271,Dallas,Male,47,43823.0,No
272,Dallas,Female,60,40457.0,No
273,Dallas,Female,53,33804.0,No
274,Dallas,Male,63,51462.0,Yes
275,Dallas,Male,55,48523.0,No
276,Dallas,Male,63,43072.0,No
277,Dallas,Male,43,46076.0,No
278,Dallas,Male,31,56275.0,No
279,Dallas,Female,61,42897.0,No
280,Dallas,Female,65,41464.0,No
281,Dallas,Male,34,47169.0,No
282,Dallas,Male,38,36525.0,No
283,Dallas,Female,62,34516.0,No
284,Dallas,Male,31,49337.0,No
285,Dallas,Male,60,44809.0,No
286,Dallas,Male,58,59434.0,No
287,Dallas,Female,30,37518.0,No
288,Dallas,Female,46,32425.0,Yes
289,Dallas,Male,41,45878.0,No
290,Dallas,Female,28,49646.0,No
291,Dallas,Female,38,51251.0,No
292,Dallas,Male,40,46114.0,No
293,Dallas,Female,44,54472.0,No
294,Dallas,Male,54,42648.0,Yes
295,Dallas,Female,60,37641.0,No
296,Dallas,Male,30,46098.0,No
297,Dallas,Male,26,42558.0,No
298,Dallas,Male,39,47005.0,No
299,Dallas,Male,41,51131.0,No
300,Dallas,Male,57,59207.0,Yes
301,Dallas,Male,36,64976.0,No
302,Dallas,Male,56,51483.0,No
303,Dallas,Male,34,45927.0,No
304,Dallas,Male,32,67322.0,No
305,Dallas,Male,57,37703.0,No
306,Dallas,Female,62,64697.0,No
307,Dallas,Male,61,44898.0,No
308,Dallas,Female,37,34153.0,No
309,Dallas,Male,36,57350.0,No
310,Dallas,Male,50,46617.0,No
311,Dallas,Male,46,34390.0,No
312,Dallas,Female,34,34927.0,No
313,Dallas,Male,63,59254.0,No
314,Dallas,Female,44,49785.0,No
315,Dallas,Male,44,55387.0,No
316,Dallas,Male,26,54192.0,Yes
317,Dallas,Male,50,56941.0,No
318,Dallas,Female,65,22225.0,No
319,Dallas,Female,39,33083.0,No
320,Dallas,Male,37,59340.0,No
321,Dallas,Male,48,38920.0,No
322,Dallas,Female,40,25830.0,No
323,Dallas,Male,25,56736.0,No
324,Dallas,Male,28,30162.0,No
325,Dallas,Male,38,56717.0,No
326,Dallas,Female,44,38410.0,No
327,Dallas,Male,54,44959.0,No
328,Dallas,Female,47,28613.0,No
329,Dallas,Female,42,36723.0,No
330,Dallas,Female,62,29099.0,Yes
331,Dallas,Male,50,44166.0,No
332,Dallas,Female,61,41837.0,No
333,Dallas,Male,29,57912.0,No
334,Dallas,Male,63,55613.0,No
335,Dallas,Male,51,60860.0,No
336,Dallas,Male,28,67086.0,No
337,Dallas,Male,45,42938.0,No
338,Dallas,Male,44,45514.0,Yes
339,Dallas,Male,36,40552.0,No
340,Dallas,Female,29,33230.0,No
341,Dallas,Male,49,59647.0,No
342,Dallas,Male,44,68651.0,No
343,Dallas,Male,37,48323.0,No
344,Dallas,Male,42,42899.0,No
345,Dallas,Male,30,49882.0,No
346,Dallas,Male,47,71176.0,No
347,Dallas,Female,36,36397.0,Yes
348,Dallas,Female,33,53269.0,No
349,Dallas,Female,55,37407.0,No
350,Dallas,Male,39,42427.0,No
351,Dallas,Male,61,31618.0,No
352,Dallas,Female,51,31580.0,No
353,Dallas,Female,35,11926.0,No
354,Dallas,Female,49,35509.0,No
355,Dallas,Male,43,58988.0,Yes
356,Dallas,Male,37,32973.0,No
357,Dallas,Female,34,27915.0,No
358,Dallas,Male,51,55640.0,No
359,Dallas,Female,48,36317.0,No
360,Dallas,Female,27,53163.0,No
361,Dallas,Male,62,28695.0,No
362,Dallas,Female,33,23952.0,No
363,Dallas,Female,33,31781.0,No
364,Dallas,Male,50,43563.0,No
365,Dallas,Female,32,31671.0,No
366,Dallas,Female,49,42065.0,No
367,Dallas,Female,59,27436.0,No
368,Dallas,Female,52,46311.0,No
369,Dallas,Female,43,45458.0,No
370,Dallas,Female,44,47435.0,No
371,Dallas,Male,44,46572.0,No
372,Dallas,Female,25,46955.0,No
373,Dallas,Female,36,41171.0,No
374,Dallas,Female,36,51153.0,No
375,Dallas,Male,60,56650.0,No
376,Dallas,Male,61,44592.0,No
377,Dallas,Female,43,38154.0,No
378,Dallas,Male,47,58870.0,No
379,Dallas,Female,63,52706.0,No
380,Dallas,Male,54,45465.0,Yes
381,Dallas,Female,48,41742.0,No
382,Dallas,Male,36,34889.0,No
383,Dallas,Female,61,50266.0,No
384,Dallas,Female,30,51144.0,No
385,Dallas,Male,45,70565.0,No
386,Dallas,Male,57,34817.0,No
387,Dallas,Male,61,50642.0,No
388,Dallas,Female,56,11535.0,No
389,Dallas,Male,42,65963.0,No
390,Dallas,Male,37,53465.0,No
391,Dallas,Female,48,33766.0,No
392,Dallas,Female,38,47770.0,No
393,Dallas,Female,54,34871.0,No
394,Dallas,Female,54,45362.0,No
395,Dallas,Male,36,52638.0,No
396,Dallas,Female,36,20029.0,No
397,Dallas,Male,34,42854.0,No
398,Dallas,Male,62,49958.0,Yes
399,Dallas,Male,50,26085.0,No
400,Dallas,Male,38,43929.0,No
401,Dallas,Male,42,39999.0,No
402,Dallas,Male,43,51904.0,No
403,Dallas,Female,35,26635.0,No
404,Dallas,Male,42,53418.0,Yes
405,Dallas,Male,65,54304.0,No
406,Dallas,Male,39,62155.0,No
407,Dallas,Female,65,6733.0,No
408,Dallas,Female,47,26653.0,No
409,Dallas,Male,27,54812.0,No
410,Dallas,Female,43,42320.0,No
411,Dallas,Male,56,62832.0,No
412,Dallas,Male,62,60311.0,No
413,Dallas,Female,60,38837.0,No
414,Dallas,Female,53,42258.0,No
415,Dallas,Male,35,55379.0,No
416,Dallas,Male,29,54090.0,No
417,Dallas,Male,51,56877.0,No
418,Dallas,Male,42,40294.0,No
419,Dallas,Male,31,36154.0,No
420,Dallas,Female,59,43318.0,No
421,Dallas,Male,46,47998.0,No
422,Dallas,Male,42,34580.0,No
423,Dallas,Female,56,50977.0,No
424,Dallas,Female,28,58021.0,No
425,Dallas,Male,33,34316.0,No
426,Dallas,Female,59,38877.0,No
427,Dallas,Female,40,43548.0,No
428,Dallas,Female,56,42285.0,No
429,Dallas,Male,52,52834.0,No
430,Dallas,Female,36,47566.0,No
431,Dallas,Male,51,44138.0,No
432,Dallas,Male,55,49735.0,No
433,Dallas,Female,48,39159.0,No
434,Dallas,Female,54,54271.0,No
435,Dallas,Female,58,42891.0,No
436,Dallas,Female,61,45376.0,No
437,Dallas,Female,64,51749.0,No
438,Dallas,Male,31,30898.0,No
439,Dallas,Male,28,45472.0,No
440,Dallas,Male,59,54936.0,No
441,Dallas,Female,27,43601.0,Yes
442,Dallas,Female,64,38107.0,No
443,Dallas,Male,25,51221.0,No
444,Dallas,Male,49,50653.0,Yes
445,Dallas,Female,60,59483.0,No
446,Dallas,Male,30,41928.0,No
447,Dallas,Male,41,52087.0,No
448,Dallas,Male,47,42597.0,No
449,Dallas,Female,46,41864.0,No
450,Dallas,Male,43,41867.0,Yes
451,Dallas,Male,56,51520.0,No
452,Dallas,Male,64,56658.0,No
453,Dallas,Female,26,41854.0,No
454,Dallas,Female,30,43934.0,No
455,Dallas,Female,38,41575.0,No
456,Dallas,Male,42,32310.0,No
457,Dallas,Male,42,61088.0,No
458,Dallas,Male,30,43811.0,No
459,Dallas,Male,50,64300.0,No
460,Dallas,Female,36,33546.0,No
461,Dallas,Male,64,55192.0,Yes
462,Dallas,Female,40,41087.0,No
463,Dallas,Male,62,39947.0,No
464,Dallas,Male,41,48400.0,No
465,Dallas,Male,41,39335.0,No
466,Dallas,Male,53,58013.0,No
467,Dallas,Male,38,60514.0,No
468,Dallas,Female,45,46662.0,No
469,Dallas,Male,28,49682.0,Yes
470,Dallas,Male,65,52691.0,No
471,Dallas,Female,58,27137.0,Yes
472,Dallas,Male,59,53759.0,No
473,Dallas,Male,41,64692.0,Yes
474,Dallas,Female,39,66612.0,No
475,Dallas,Female,38,51273.0,No
476,Dallas,Male,62,48206.0,Yes
477,Dallas,Male,37,37940.0,No
478,Dallas,Female,30,64033.0,No
479,Dallas,Male,39,52353.0,No
480,Dallas,Male,29,53607.0,No
481,Dallas,Female,57,55947.0,No
482,Dallas,Male,41,56665.0,No
483,Dallas,Female,29,51383.0,No
484,Dallas,Female,48,57622.0,No
485,Dallas,Male,58,42291.0,No
486,Dallas,Female,30,30199.0,No
487,Dallas,Male,57,54733.0,No
488,Dallas,Female,27,40026.0,Yes
489,Dallas,Male,49,49247.0,No
490,Dallas,Male,60,52773.0,No
491,Dallas,Male,52,48091.0,No
492,Dallas,Female,35,48737.0,No
493,Dallas,Female,32,29352.0,No
494,Dallas,Male,33,31758.0,No
495,Dallas,Male,29,55608.0,No
496,Dallas,Male,44,51679.0,No
497,Dallas,Male,44,42288.0,No
498,Dallas,Male,58,55464.0,No
499,Dallas,Male,38,57047.0,No
500,Dallas,Female,59,30366.0,No
501,Dallas,Male,50,51169.0,No
502,Dallas,Male,39,46001.0,No
503,Dallas,Female,33,34911.0,No
504,Dallas,Male,51,47034.0,No
505,Dallas,Female,55,54490.0,No
506,Dallas,Female,29,52473.0,No
507,Dallas,Female,54,38422.0,No
508,Dallas,Female,29,29802.0,No
509,Dallas,Male,44,60139.0,No
510,Dallas,Female,36,29667.0,No
511,Dallas,Female,55,47175.0,No
512,Dallas,Female,65,35905.0,No
513,Dallas,Female,59,43834.0,Yes
514,Dallas,Male,41,58810.0,No
515,Dallas,Female,42,41293.0,No
516,Dallas,Male,40,41839.0,No
517,Dallas,Male,44,30793.0,No
518,Dallas,Male,38,54458.0,No
519,Dallas,Male,49,49072.0,No
520,Dallas,Male,57,54934.0,No
521,Dallas,Male,35,41343.0,Yes
522,Dallas,Male,38,53541.0,No
523,Dallas,Male,26,48037.0,No
524,Dallas,Male,41,41605.0,No
525,Dallas,Male,60,45227.0,No
526,Dallas,Female,34,42464.0,No
527,Dallas,Male,62,63050.0,No
528,Dallas,Male,63,42432.0,No
529,Dallas,Male,61,59681.0,No
530,Dallas,Female,45,49479.0,Yes
531,Dallas,Male,38,62406.0,No
532,Dallas,Male,63,44482.0,No
533,Dallas,Female,38,26356.0,No
534,Dallas,Female,39,40111.0,No
535,Dallas,Male,56,28423.0,No
536,Dallas,Female,27,46029.0,No
537,Dallas,Female,51,43165.0,No
538,Dallas,Female,33,35044.0,No
539,Dallas,Male,28,43578.0,No
540,Dallas,Male,54,44490.0,No
541,Dallas,Male,54,53673.0,No
542,Dallas,Male,30,40663.0,No
543,Dallas,Male,29,48660.0,No
544,Dallas,Female,27,48563.0,No
545,Dallas,Male,32,61141.0,No
546,Dallas,Male,43,53874.0,No
547,Dallas,Female,37,51319.0,No
548,Dallas,Male,53,60439.0,No
549,Dallas,Male,34,71444.0,Yes
550,Dallas,Male,52,35988.0,No
551,Dallas,Male,26,42681.0,No
552,Dallas,Male,48,47954.0,No
553,Dallas,Male,30,53567.0,No
554,Dallas,Female,41,47544.0,No
555,Dallas,Male,52,37783.0,No
556,Dallas,Female,54,42445.0,No
557,Dallas,Female,51,26948.0,Yes
558,Dallas,Female,57,39201.0,No
559,Dallas,Female,59,41835.0,No
560,Dallas,Female,64,29372.0,No
561,Dallas,Female,28,46954.0,No
562,Dallas,Male,63,60188.0,No
563,Dallas,Male,28,49720.0,Yes
564,Dallas,Female,61,47136.0,No
565,Dallas,Male,59,34991.0,No
566,Dallas,Female,44,41485.0,No
567,Dallas,Female,41,44699.0,No
568,Dallas,Female,47,61749.0,No
569,Dallas,Male,58,49861.0,No
570,Dallas,Female,31,51080.0,No
571,Dallas,Male,28,58489.0,No
572,Dallas,Male,39,39856.0,No
573,Dallas,Male,36,40933.0,No
574,Dallas,Female,50,40577.0,No
575,Dallas,Female,38,38757.0,No
576,Dallas,Male,59,45007.0,No
577,Dallas,Male,49,44953.0,No
578,Dallas,Male,39,50794.0,No
579,Dallas,Female,31,42573.0,No
580,Dallas,Male,31,45431.0,Yes
581,Dallas,Female,35,26015.0,No
582,Dallas,Male,34,34455.0,No
583,Dallas,Female,63,47515.0,No
584,Dallas,Male,51,54691.0,No
585,Dallas,Male,63,43529.0,No
586,Dallas,Male,60,28389.0,No
587,Dallas,Male,60,54539.0,No
588,Dallas,Female,48,43487.0,No
589,Dallas,Male,46,64963.0,No
590,Dallas,Female,32,40353.0,No
591,Dallas,Female,49,45418.0,No
592,Dallas,Female,60,20841.0,No
593,Dallas,Male,62,37290.0,No
594,Dallas,Male,29,31931.0,No
595,Dallas,Female,57,36561.0,No
596,Dallas,Female,40,34635.0,No
597,Dallas,Male,55,38802.0,No
598,Dallas,Male,44,55015.0,No
599,Dallas,Male,37,52912.0,No
600,Dallas,Female,56,45366.0,No
601,Dallas,Male,33,65415.0,No
602,Dallas,Female,36,43192.0,No
603,Dallas,Male,53,64756.0,No
604,Dallas,Female,57,23256.0,No
605,Dallas,Male,30,38423.0,No
606,Dallas,Male,34,65255.0,No
607,Dallas,Male,42,27766.0,No
608,Dallas,Female,57,37490.0,Yes
609,Dallas,Male,49,33521.0,No
610,Dallas,Female,43,59030.0,Yes
611,Dallas,Male,27,44095.0,Yes
612,Dallas,Female,33,17621.0,No
613,Dallas,Male,50,56806.0,No
614,Dallas,Male,61,36315.0,Yes
615,Dallas,Male,49,40709.0,No
616,Dallas,Female,27,32661.0,Yes
617,Dallas,Male,34,55377.0,No
618,Dallas,Female,47,54937.0,No
619,Dallas,Male,56,51930.0,No
620,Dallas,Male,33,47158.0,No
621,Dallas,Female,43,27012.0,No
622,Dallas,Male,35,62429.0,No
623,Dallas,Female,48,33033.0,Yes
624,Dallas,Male,51,67959.0,No
625,Dallas,Male,56,44904.0,No
626,Dallas,Male,25,55047.0,No
627,Dallas,Male,31,53915.0,No
628,Dallas,Male,57,25278.0,No
629,Dallas,Female,52,13117.0,No
630,Dallas,Male,60,55998.0,No
631,Dallas,Female,39,56619.0,No
632,Dallas,Female,45,24670.0,No
633,Dallas,Male,60,40443.0,No
634,Dallas,Female,33,18417.0,Yes
635,Dallas,Female,26,46760.0,No
636,Dallas,Male,27,57092.0,No
637,Dallas,Female,36,48604.0,No
638,Dallas,Female,31,57326.0,No
639,Dallas,Female,29,32876.0,No
640,Dallas,Male,41,64982.0,No
641,Dallas,Female,58,41537.0,No
642,Dallas,Male,61,64590.0,No
643,Dallas,Male,25,46542.0,No
644,Dallas,Female,44,47283.0,No
645,Dallas,Female,41,50469.0,No
646,Dallas,Female,33,25063.0,No
647,Dallas,Male,33,56704.0,No
648,Dallas,Female,34,28171.0,No
649,Dallas,Male,34,51531.0,No
650,Dallas,Female,42,38854.0,No
651,Dallas,Male,31,28405.0,No
652,Dallas,Female,30,38758.0,No
653,Dallas,Female,26,39756.0,No
654,Dallas,Male,49,48151.0,Yes
655,Dallas,Male,60,46927.0,No
656,Dallas,Male,29,67747.0,No
657,Dallas,Female,37,42772.0,No
658,Dallas,Female,53,33410.0,No
659,Dallas,Male,31,44721.0,Yes
660,Dallas,Male,58,53322.0,No
661,Dallas,Male,61,45173.0,No
662,Dallas,Male,36,48435.0,No
663,Dallas,Male,62,68444.0,No
664,Dallas,Male,48,58958.0,No
665,Dallas,Male,34,49033.0,No
666,Dallas,Male,37,40801.0,Yes
667,Dallas,Male,58,50925.0,No
668,Dallas,Female,61,35923.0,No
669,Dallas,Male,39,31183.0,No
670,Dallas,Female,37,43244.0,No
671,Dallas,Female,33,26083.0,No
672,Dallas,Male,59,58296.0,No
673,Dallas,Male,27,47042.0,No
674,Dallas,Male,58,54592.0,No
675,Dallas,Male,62,54695.0,No
676,Dallas,Male,56,58579.0,Yes
677,Dallas,Female,29,26525.0,No
678,Dallas,Male,59,41503.0,No
679,Dallas,Male,64,60542.0,No
680,Dallas,Male,35,40298.0,No
681,Dallas,Female,26,31986.0,No
682,Dallas,Male,44,54249.0,No
683,Dallas,Male,35,49598.0,No
684,Dallas,Male,58,47039.0,Yes
685,Dallas,Female,55,25885.0,No
686,Dallas,Male,56,42937.0,No
687,Dallas,Female,32,32771.0,No
688,Dallas,Female,64,24096.0,No
689,Dallas,Male,50,65680.0,No
690,Dallas,Male,62,46347.0,No
691,Dallas,Male,55,50728.0,No
692,Dallas,Female,61,34677.0,No
693,Dallas,Male,41,54310.0,No
694,Dallas,Female,56,36533.0,No
695,Dallas,Male,27,47447.0,No
696,Dallas,Female,63,46860.0,No
697,Dallas,Male,57,32742.0,No
698,Dallas,Female,27,52934.0,No
699,Dallas,Male,64,33924.0,No
700,Dallas,Male,37,41361.0,No
701,Dallas,Female,26,44766.0,No
702,Dallas,Male,49,59412.0,No
703,Dallas,Male,50,70098.0,No
704,Dallas,Male,32,52021.0,No
705,Dallas,Male,41,43035.0,No
706,Dallas,Male,44,52407.0,Yes
707,Dallas,Male,47,61120.0,No
708,Dallas,Female,57,17477.0,No
709,Dallas,Male,43,39126.0,No
710,Dallas,Female,53,36091.0,No
711,Dallas,Male,44,56030.0,No
712,Dallas,Male,60,44660.0,No
713,Dallas,Female,60,32494.0,No
714,Dallas,Female,54,30154.0,No
715,Dallas,Female,65,37573.0,No
716,Dallas,Male,58,66328.0,No
717,Dallas,Female,51,46914.0,No
718,Dallas,Male,26,48537.0,No
719,Dallas,Female,44,34378.0,No
720,Dallas,Male,46,56861.0,No
721,Dallas,Female,46,36251.0,No
722,Dallas,Female,55,35881.0,No
723,Dallas,Female,35,40959.0,No
724,Dallas,Female,58,46841.0,No
725,Dallas,Male,58,51566.0,Yes
726,Dallas,Male,38,42284.0,No
727,Dallas,Male,43,62323.0,Yes
